sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichlorophenol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"dichlorophenol";"phenols";"hazardous!";"";"100";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dichlorophenol";"phenols";"";"stress corrosion cracking";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichlorophenol";"phenols";"";"stress corrosion cracking";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"dichlorophenol";"phenols";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"dichlorophenol";"phenols";"";"";"100";"25 – 325";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"dichlorophenol";"phenols";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"dichlorophenol";"phenols";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"dichlorophenol";"phenols";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"dichlorophenol";"phenols";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"dichlorophenol";"phenols";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"dichlorophenol";"phenols";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"dichlorophenol";"phenols";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
